sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm25,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm25_avg,pm10_avg,so2_avg,longitude,latitude,siteid
前鎮,高雄市,87,細懸浮微粒,普通,2.6,0.5,42.2,27.6,93,26,22.4,25.6,3.2,2,6,2022/12/14 15:00,0.5,30,59,2,120.3083336,22.6044507,57
小港,高雄市,88,細懸浮微粒,普通,1.2,0.46,44.2,27.8,59,29,24.1,26.4,2.3,1.7,303,2022/12/14 15:00,0.5,30,52,1,120.337736,22.565833,58
屏東,屏東縣,88,細懸浮微粒,普通,2.1,0.35,54.5,33.3,53,32,12,13.1,1,1.7,306,2022/12/14 15:00,0.4,30,52,1,120.488033,22.673081,59
潮州,屏東縣,127,細懸浮微粒,對敏感族群不健康,2.8,0.52,62.9,36.1,80,49,26.1,28,1.9,0.9,264,2022/12/14 15:00,0.4,45,73,1,120.561175,22.523108,60
恆春,屏東縣,45,,良好,0.6,0.21,51.3,49.3,5,2,1.3,1.6,0.2,12.7,32,2022/12/14 15:00,0.2,2,4,0,120.788928,21.958069,61
臺東,臺東縣,34,,良好,0.6,0.3,37.6,37.6,18,1,7.2,9.2,1.9,1.8,324,2022/12/14 15:00,0.2,1,13,0,121.15045,22.755358,62
花蓮,花蓮縣,37,,良好,0.5,0.24,43.7,40.9,11,1,4.6,5.5,0.8,3.5,50,2022/12/14 15:00,0.2,1,10,0,121.599769,23.971306,63
陽明,臺北市,37,,良好,0.6,0.26,39.6,40.8,12,0,1.9,2.5,0.5,0,0,2022/12/14 15:00,0.2,1,8,0,121.529583,25.182722,64
宜蘭,宜蘭縣,33,,良好,0.7,0.26,34.6,36.1,6,3,8.4,8.7,0.3,1,171,2022/12/14 15:00,0.2,2,7,0,121.746394,24.747917,65
冬山,宜蘭縣,34,,良好,0.5,0.25,32,37.5,5,1,12.2,14.4,2.2,2.2,308,2022/12/14 15:00,0.2,1,5,0,121.792928,24.632203,66
三重,新北市,52,二氧化氮,普通,0.9,0.99,10.2,9.7,34,19,33.2,77.1,43.8,0,0,2022/12/14 15:00,1,13,25,1,121.493806,25.072611,67
中壢,桃園市,40,,良好,0,0,0,14,36,11,0,0,0,1.7,321,2022/12/14 15:00,0.9,12,27,1,121.221667,24.953278,68
竹山,南投縣,44,,良好,1.2,0.35,29,26.1,44,16,13.5,14.9,1.4,1.7,123,2022/12/14 15:00,0.3,13,27,1,120.677306,23.756389,69
永和,新北市,39,,良好,0.5,0.42,24.3,24.8,31,15,16.4,23.3,6.8,2.1,84,2022/12/14 15:00,0.5,11,22,0,121.516306,25.017,70
復興,高雄市,84,細懸浮微粒,普通,1.3,0.52,43.2,27.5,54,24,20.5,22.3,1.7,1.3,279,2022/12/14 15:00,0.6,28,50,1,120.312017,22.608711,71
埔里,南投縣,57,細懸浮微粒,普通,1.3,0.32,0,19.1,0,0,5.6,7.6,1.9,1.4,264,2022/12/14 15:00,0.3,17,42,1,120.967903,23.968842,72
馬祖,連江縣,88,細懸浮微粒,普通,1.2,0.28,40.1,37.6,84,33,8.3,9.6,1.3,3,323,2022/12/14 15:00,0.2,30,87,1,119.9314938,26.15188416,75
金門,金門縣,56,細懸浮微粒,普通,1.6,0.25,35,31.9,0,22,8.3,9.3,0.9,4.4,33,2022/12/14 15:00,0.3,17,22,1,118.312256,24.432133,77
馬公,澎湖縣,49,,良好,0.7,0.21,43.7,40.4,39,0,2.6,3.7,1.1,9.3,21,2022/12/14 15:00,0.2,15,33,0,119.566158,23.569031,78
關山,臺東縣,34,,良好,0.5,0.24,41.5,37.8,5,5,4.8,6,1.2,3,23,2022/12/14 15:00,0.2,2,5,0,121.161933,23.045083,80
麥寮,雲林縣,45,,良好,1.7,0.25,43.9,39.8,51,12,7,9.1,2,5.8,0,2022/12/14 15:00,0.2,11,45,1,120.251825,23.753506,83
富貴角,新北市,57,細懸浮微粒,普通,0.1,0.22,42.9,43.8,41,17,2.1,2.1,0,12.1,31,2022/12/14 15:00,0.1,18,44,0,121.5365689,25.29681695,84
大城,彰化縣,39,,良好,0.4,0.2,46.1,42.6,29,11,4.4,4.8,0.3,9.5,48,2022/12/14 15:00,0.2,11,33,0,120.2696417,23.85493056,85
彰化(員林),彰化縣,30,,良好,0,0.32,34.8,32.4,21,5,11.5,12.8,1.3,1.5,3,2022/12/14 15:00,0.3,7,15,0,120.56373,23.96117,201
高雄(湖內),高雄市,56,細懸浮微粒,普通,2.1,0.37,36.5,28.3,39,19,16,18.2,2.2,1.3,206,2022/12/14 15:00,0.3,17,30,2,120.24535,22.87985556,202
臺南(麻豆),臺南市,43,,良好,1.2,0.35,36.9,30.7,44,14,11.8,13.5,1.6,2.6,351,2022/12/14 15:00,0.3,13,34,1,120.2458306,23.17904722,203
屏東(琉球),屏東縣,99,細懸浮微粒,普通,1.6,0.33,58,31.8,52,26,11.1,12.1,1,1.8,306,2022/12/14 15:00,0.5,34,58,3,120.37722,22.35222,204
宜蘭(壯圍),宜蘭縣,38,,良好,0.2,0.19,43.8,41.1,22,6,2.2,2.6,0.3,5.3,31,2022/12/14 15:00,0.2,4,10,0,121.815708,24.765468,310
新北(樹林),新北市,37,,良好,0.2,0.28,22.3,19.4,0,12,18.7,25.5,6.8,0.2,151,2022/12/14 15:00,0.4,11,0,0,121.3835278,24.94902778,311
臺南(學甲),臺南市,60,懸浮微粒,普通,0.8,0.38,32.9,31.3,79,17,17.1,27.5,10.3,2.8,18,2022/12/14 15:00,0.3,14,60,0,120.1833972,23.23688056,312
屏東(枋山),屏東縣,149,細懸浮微粒,對敏感族群不健康,2.7,0.46,55.5,39.7,77,51,18.6,19.8,1.2,1.9,300,2022/12/14 15:00,0.5,54,90,2,120.651472,22.260899,313
